pl_name,hostname,disc_year,discoverymethod,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,sy_dist,sy_snum,sy_pnum
"HD 169830 b","HD 169830",2000,"Radial Velocity","La Silla Observatory",225.67372000000,0.7650000000,13.20000000,804.42369812,345.00,6300.00,37.60480000,1,2
"HD 179949 b","HD 179949",2000,"Radial Velocity","Anglo-Australian Telescope",3.09251400000,0.0443000000,13.90000000,291.12000000,1590.53,6168.00,27.45730000,1,1
"HD 27442 b","HD 27442",2000,"Radial Velocity","Anglo-Australian Telescope",428.10000000000,1.2710000000,13.50000000,495.80000000,369.62,4846.00,18.27040000,2,1
"HD 38529 b","HD 38529",2000,"Radial Velocity","Multiple Observatories",14.30990000000,0.1150000000,14.10000000,206.58846455,1369.46,5697.00,42.35380000,2,2
"HD 38529 c","HD 38529",2000,"Radial Velocity","Multiple Observatories",2127.60566000000,3.2260000000,12.50000000,3299.05886466,258.56,5697.00,42.35380000,2,2
"HD 46375 b","HD 46375",2000,"Radial Velocity","W. M. Keck Observatory",3.02357300000,0.0398000000,10.00000000,71.80000000,1221.40,5285.00,29.55290000,2,1
"HD 52265 b","HD 52265",2000,"Radial Velocity","W. M. Keck Observatory",119.27000000000,0.5200000000,13.70000000,384.57430000,405.00,6136.00,29.98030000,1,1
"HD 92788 b","HD 92788",2000,"Radial Velocity","Multiple Observatories",325.80300000000,0.9700000000,13.00000000,1195.04080000,300.27,5744.00,34.65380000,1,2
"eps Eri b","eps Eri",2000,"Radial Velocity","Multiple Observatories",2680.00000000000,3.5300000000,13.80000000,317.82840700,112.26,5020.38,3.20260000,1,1
"47 UMa c","47 UMa",2001,"Radial Velocity","Lick Observatory",2391.00000000000,3.6000000000,14.20000000,171.62100000,164.38,5872.00,13.79670000,1,3
"HD 114783 b","HD 114783",2001,"Radial Velocity","W. M. Keck Observatory",493.70000000000,1.1600000000,13.70000000,349.60000000,210.79,5135.00,21.06280000,1,2
"HD 142 b","HD 142",2001,"Radial Velocity","Anglo-Australian Telescope",351.43394000000,1.0390000000,12.70000000,2256.58168970,358.19,6245.00,26.18530000,2,3
"HD 178911 B b","HD 178911 B",2001,"Radial Velocity","W. M. Keck Observatory",71.48400000000,0.3400000000,12.60000000,2552.17490000,480.24,5588.00,40.97270000,3,1
"HD 213240 b","HD 213240",2001,"Radial Velocity","La Silla Observatory",882.70001000000,1.8900000000,12.80000000,1655.88600047,257.70,5979.00,40.87070000,2,1
"HD 23079 b","HD 23079",2001,"Radial Velocity","Anglo-Australian Telescope",735.74000000000,1.6000000000,13.20000000,845.42356262,237.47,5994.00,33.45910000,1,2
"HD 28185 b","HD 28185",2001,"Radial Velocity","La Silla Observatory",385.92000000000,1.0340000000,12.80000000,1859.29618095,271.95,5602.00,39.38090000,1,2
"HD 39091 b","HD 39091",2001,"Radial Velocity","Anglo-Australian Telescope",2088.80000000000,3.2800000000,12.30000000,4481.38053870,172.74,5998.00,18.27020000,1,3
"HD 4203 b","HD 4203",2001,"Radial Velocity","W. M. Keck Observatory",431.88000000000,1.1700000000,13.30000000,708.76090000,297.28,5596.00,81.37950000,1,2
"HD 4208 b","HD 4208",2001,"Radial Velocity","W. M. Keck Observatory",832.97000000000,1.6620000000,13.90000000,257.44230000,196.68,5717.00,34.19370000,1,1
"HD 68988 b","HD 68988",2001,"Radial Velocity","Multiple Observatories",6.27711000000,0.0700000000,13.40000000,626.12510000,1179.39,5932.00,60.84470000,1,2
"HD 80606 b","HD 80606",2001,"Radial Velocity","Multiple Observatories",111.43676500000,0.4603000000,11.56766808,1323.46926959,405.00,5565.00,66.47110000,2,1
"14 Her b","14 Her",2002,"Radial Velocity","W. M. Keck Observatory",1766.41000000000,2.8390000000,12.50000000,2828.67282230,147.32,5338.00,17.93230000,1,2
"55 Cnc d","55 Cnc",2002,"Radial Velocity","Lick Observatory",4799.00000000000,5.6000000000,13.00000000,1232.49300000,104.85,5198.00,12.58550000,2,7
"HD 106252 b","HD 106252",2002,"Radial Velocity","Lick Observatory",1535.00000000000,2.6550000000,12.50000000,3178.28407000,178.13,5874.00,38.18500000,1,1
"HD 108147 b","HD 108147",2002,"Radial Velocity","La Silla Observatory",10.89850000000,0.1020000000,10.90000000,82.95000000,890.00,6255.73,38.92000000,1,1
"HD 108874 b","HD 108874",2002,"Radial Velocity","W. M. Keck Observatory",394.48123000000,1.0400000000,13.60000000,451.31860000,271.33,5600.00,59.51750000,1,2
"HD 114729 b","HD 114729",2002,"Radial Velocity","W. M. Keck Observatory",1121.79000000000,2.0670000000,13.90000000,262.20975000,237.89,5844.00,37.80630000,2,1
"HD 12661 c","HD 12661",2002,"Radial Velocity","Multiple Observatories",1708.00000000000,2.8145000000,13.20000000,899.45439181,174.06,5748.00,37.84780000,1,2
"HD 128311 b","HD 128311",2002,"Radial Velocity","W. M. Keck Observatory",453.01900000000,1.0840000000,13.50000000,562.24127000,200.47,4965.00,16.32920000,1,2
"HD 141937 b","HD 141937",2002,"Radial Velocity","La Silla Observatory",662.37000000000,1.5400000000,12.40000000,3591.46099910,231.49,5870.00,33.36220000,1,1
"HD 162020 b","HD 162020",2002,"Radial Velocity","La Silla Observatory",8.42820000000,0.0800000000,12.50000000,3127.44720000,650.00,4723.00,30.82480000,1,1
"HD 168746 b","HD 168746",2002,"Radial Velocity","La Silla Observatory",6.40400000000,0.0700000000,11.10000000,85.81410000,900.00,5570.00,41.56810000,1,1
"HD 196050 b","HD 196050",2002,"Radial Velocity","Anglo-Australian Telescope",1392.00000000000,2.6500000000,12.90000000,1493.79351290,207.52,5879.00,50.67420000,3,1
"HD 2039 b","HD 2039",2002,"Radial Velocity","Anglo-Australian Telescope",1120.00000000000,2.2000000000,12.70000000,1999.15070000,210.84,5945.00,85.69220000,1,1
"HD 216435 b","HD 216435",2002,"Radial Velocity","Anglo-Australian Telescope",1311.00000000000,2.5600000000,13.70000000,400.40000000,242.57,5999.00,32.98340000,1,1
"HD 216437 b","HD 216437",2002,"Radial Velocity","Anglo-Australian Telescope",1359.00000000000,2.5700000000,13.00000000,1334.87930940,209.85,5909.00,26.69020000,1,1
"HD 30177 b","HD 30177",2002,"Radial Velocity","Anglo-Australian Telescope",2539.00000000000,3.4900000000,12.60000000,2622.08435775,148.00,5680.00,55.58670000,1,2
"HD 37124 b","HD 37124",2002,"Radial Velocity","W. M. Keck Observatory",154.37800000000,0.5336400000,14.00000000,214.53525000,366.48,5698.64,31.66340000,1,3
"HD 37124 c","HD 37124",2002,"Radial Velocity","W. M. Keck Observatory",885.50000000000,1.7100000000,14.10000000,207.22516000,204.73,5698.64,31.66340000,1,3
"HD 40979 b","HD 40979",2002,"Radial Velocity","Multiple Observatories",264.14999000000,0.8500000000,12.90000000,1484.26610000,354.69,6165.00,34.08830000,3,1
"HD 47536 b","HD 47536",2002,"Radial Velocity","La Silla Observatory",712.13000000000,1.9300000000,12.60000000,2330.00000000,736.52,4380.00,122.53600000,1,1
"HD 49674 b","HD 49674",2002,"Radial Velocity","W. M. Keck Observatory",4.94737000000,0.0600000000,6.20000000,31.78300000,1113.78,5602.00,43.03990000,1,1
"HD 50554 b","HD 50554",2002,"Radial Velocity","Lick Observatory",1293.00000000000,2.3530000000,12.80000000,1859.29618095,190.08,5987.00,31.16640000,1,1
"HD 72659 b","HD 72659",2002,"Radial Velocity","W. M. Keck Observatory",3549.00000000000,4.6070000000,13.20000000,949.67128012,155.34,5929.00,51.89490000,1,2
"HD 73526 b","HD 73526",2002,"Radial Velocity","Anglo-Australian Telescope",188.30000000000,0.6500000000,13.10000000,978.91640000,414.37,5601.00,97.23960000,1,2
"HD 76700 b","HD 76700",2002,"Radial Velocity","Anglo-Australian Telescope",3.97097000000,0.0500000000,9.60000000,66.74430000,1424.61,5644.00,60.88310000,1,1
"HD 83443 b","HD 83443",2002,"Radial Velocity","Multiple Observatories",2.98562800000,0.0406000000,14.10000000,127.76701961,1262.68,5442.00,40.89910000,1,2
"HD 8574 b","HD 8574",2002,"Radial Velocity","Haute-Provence Observatory",227.00000000000,0.7600000000,13.40000000,645.19490000,394.03,6064.00,44.82640000,1,1
"OGLE-TR-56 b","OGLE-TR-56",2002,"Transit","OGLE",1.21191890000,0.0238300000,15.27800000,441.77000000,2212.00,6050.00,282.83913869,1,1
"iot Dra b","iot Dra",2002,"Radial Velocity","Lick Observatory",510.85440000000,1.4530000000,12.40000000,3756.73177074,618.67,4504.00,31.32832000,1,2
"HD 104985 b","HD 104985",2003,"Radial Velocity","Okayama Astrophysical Observatory",199.68000000000,0.7150000000,12.80000000,1766.80811451,901.01,4738.00,100.57600000,1,1
"HD 111232 b","HD 111232",2003,"Radial Velocity","La Silla Observatory",1169.13202000000,2.1480000000,12.60000000,2531.50326176,172.05,5512.00,28.95710000,1,2
"HD 114386 b","HD 114386",2003,"Radial Velocity","La Silla Observatory",937.70001000000,1.7300000000,13.60000000,464.02947422,154.56,4836.00,27.92430000,1,2
"HD 121504 b","HD 121504",2003,"Radial Velocity","La Silla Observatory",63.33000000000,0.3300000000,13.60000000,479.92330000,523.32,6027.00,41.65920000,1,1
"HD 142415 b","HD 142415",2003,"Radial Velocity","La Silla Observatory",386.29999000000,1.0600000000,13.50000000,530.77610000,283.72,5940.00,35.53180000,1,1
"HD 147513 b","HD 147513",2003,"Radial Velocity","La Silla Observatory",528.40000000000,1.3200000000,13.70000000,385.00000000,244.43,5883.00,12.90320000,2,1
"HD 169830 c","HD 169830",2003,"Radial Velocity","La Silla Observatory",1818.82339000000,3.0750000000,12.60000000,2437.42605328,241.03,6300.00,37.60480000,1,2
"HD 190360 b","HD 190360",2003,"Radial Velocity","Haute-Provence Observatory",2887.50000000000,3.9650000000,13.50000000,537.00000000,150.00,5560.00,16.00690000,2,3
"HD 19994 b","HD 19994",2003,"Radial Velocity","La Silla Observatory",466.20000000000,1.3050000000,13.60000000,435.41000000,350.10,6188.00,22.52420000,3,1
"HD 216770 b","HD 216770",2003,"Radial Velocity","La Silla Observatory",118.45000000000,0.4600000000,14.10000000,181.16310000,370.18,5399.00,36.66250000,1,1
"HD 23596 b","HD 23596",2003,"Radial Velocity","Haute-Provence Observatory",1535.11912000000,2.6940000000,12.40000000,3786.60764100,219.49,6040.00,52.00180000,2,1
"HD 3651 b","HD 3651",2003,"Radial Velocity","Multiple Observatories",62.25000000000,0.2950000000,10.10000000,72.46524000,432.84,5221.00,11.13360000,1,1
"HD 41004 B b","HD 41004 B",2003,"Radial Velocity","La Silla Observatory",1.32830000000,,12.10000000,5838.29000000,,5036.00,41.55040000,2,2
"HD 6434 b","HD 6434",2003,"Radial Velocity","La Silla Observatory",21.99800000000,0.1400000000,14.20000000,155.73670000,786.83,5769.00,42.35800000,1,1
"HD 65216 b","HD 65216",2003,"Radial Velocity","La Silla Observatory",577.60000000000,1.3010000000,13.60000000,411.58985000,222.56,5612.00,35.12050000,3,2
"HD 70642 b","HD 70642",2003,"Radial Velocity","Anglo-Australian Telescope",2124.54000000000,3.3180000000,13.00000000,1239.53078730,150.52,5732.00,29.27600000,1,1
"HD 74156 b","HD 74156",2003,"Radial Velocity","Haute-Provence Observatory",51.63564000000,0.2800000000,13.50000000,532.36258173,679.63,6068.00,57.60300000,1,2
"HD 74156 c","HD 74156",2003,"Radial Velocity","Haute-Provence Observatory",2448.48726000000,3.6780000000,12.50000000,2753.98314665,187.52,6068.00,57.60300000,1,2
"HD 82943 b","HD 82943",2003,"Radial Velocity","La Silla Observatory",441.47000000000,1.1830600000,13.50000000,534.25000000,286.13,5935.00,27.59020000,1,2
"HD 82943 c","HD 82943",2003,"Radial Velocity","La Silla Observatory",220.07800000000,0.7434500000,13.40000000,622.60300000,360.95,5935.00,27.59020000,1,2
"PSR B1620-26 b","PSR B1620-26",2003,"Pulsar Timing","Hubble Space Telescope",,23.0000000000,13.30000000,794.57500000,,,,2,1
"gam Cep b","gam Cep",2003,"Radial Velocity","Multiple Observatories",913.00000000000,2.1300000000,12.70000000,2097.66748620,343.48,4775.00,14.10240000,2,1
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",2004,"Imaging","Paranal Observatory",,46.0000000000,15.69257298,1652.70771640,1163.00,2825.00,64.30800000,1,1
"55 Cnc c","55 Cnc",2004,"Radial Velocity","McDonald Observatory",44.39360000000,0.2470000000,8.51000000,54.47380000,499.27,5198.00,12.58550000,2,7
"55 Cnc e","55 Cnc",2004,"Radial Velocity","McDonald Observatory",0.73654740000,0.0154400000,1.87500000,7.99000000,1958.00,5172.00,12.58550000,2,7
"DH Tau b","DH Tau",2004,"Imaging","Subaru Telescope",,330.0000000000,30.26430000,3496.00000000,2200.00,4371.00,134.84600000,1,1
"GJ 436 b","GJ 436",2004,"Radial Velocity","W. M. Keck Observatory",2.64388312000,0.0291000000,4.17000000,22.10000000,686.00,3586.11,9.75321000,1,1
"GQ Lup b","GQ Lup",2004,"Imaging","Paranal Observatory",,100.0000000000,33.60000000,6356.00000000,2650.00,4360.00,151.16900000,1,1
"HD 117207 b","HD 117207",2004,"Radial Velocity","W. M. Keck Observatory",2621.75000000000,3.7870000000,13.40000000,669.34662514,147.20,5732.00,32.35470000,1,1
"HD 117618 b","HD 117618",2004,"Radial Velocity","Anglo-Australian Telescope",25.80000000000,0.1800000000,8.59000000,55.30242000,745.79,5990.00,37.77810000,1,1
"HD 154857 b","HD 154857",2004,"Radial Velocity","Anglo-Australian Telescope",408.60001000000,1.2900000000,13.30000000,778.68350000,359.86,5589.00,63.44820000,1,2
"HD 160691 c","HD 160691",2004,"Radial Velocity","Anglo-Australian Telescope",3947.00000000000,4.1700000000,,1398.44499080,157.21,5773.00,15.59810000,1,4
"HD 160691 d","HD 160691",2004,"Radial Velocity","La Silla Observatory",9.63920000000,0.0952000000,3.23000000,10.49000000,900.00,5773.00,15.59810000,1,4
"HD 183263 b","HD 183263",2004,"Radial Velocity","W. M. Keck Observatory",624.87404000000,1.4600000000,13.10000000,1103.18240070,263.26,5948.00,54.19550000,1,2
"HD 188015 b","HD 188015",2004,"Radial Velocity","W. M. Keck Observatory",461.20000000000,1.2030000000,13.60000000,476.72000000,267.98,5746.00,50.67060000,2,1
"HD 202206 c","HD 202206",2004,"Radial Velocity","La Silla Observatory",1260.00000000000,2.4100000000,12.20000000,5689.15700000,182.65,5766.00,45.96650000,2,1
"HD 208487 b","HD 208487",2004,"Radial Velocity","Anglo-Australian Telescope",129.36000000000,0.5300000000,14.30000000,146.20106722,437.59,6134.00,45.14700000,1,1
"HD 330075 b","HD 330075",2004,"Radial Velocity","La Silla Observatory",3.38773000000,0.0400000000,14.30000000,152.55840000,990.00,5000.00,45.29890000,1,1
"HD 37605 b","HD 37605",2004,"Radial Velocity","McDonald Observatory",55.01292000000,0.2770000000,13.20000000,854.96270000,465.76,5329.00,46.78640000,1,2
"HD 41004 A b","HD 41004 A",2004,"Radial Velocity","La Silla Observatory",963.00000000000,,13.20000000,807.25000000,,5310.00,36.69117000,2,2
"HD 45350 b","HD 45350",2004,"Radial Velocity","W. M. Keck Observatory",963.60000000000,1.9200000000,13.50000000,568.89000000,217.81,5566.00,46.87330000,1,1
"HD 88133 b","HD 88133",2004,"Radial Velocity","W. M. Keck Observatory",3.41488400000,0.0479000000,13.80000000,324.18660000,1762.08,5392.00,73.61230000,1,1
"HD 99492 b","HD 99492",2004,"Radial Velocity","W. M. Keck Observatory",17.05030000000,0.1200000000,5.44000000,25.50000000,622.27,4929.00,18.20380000,2,2
"OGLE-2003-BLG-235L b","OGLE-2003-BLG-235L",2004,"Microlensing","OGLE",,4.3000000000,13.20000000,830.00000000,,,5800.00000000,1,1
"OGLE-TR-10 b","OGLE-TR-10",2004,"Transit","OGLE",3.10127800000,0.0434000000,14.01100000,197.04600000,1702.00,5950.00,1344.97000000,1,1
"OGLE-TR-111 b","OGLE-TR-111",2004,"Transit","OGLE",4.01444630000,0.0473000000,11.42197100,174.79900000,1019.00,5040.00,1068.33000000,1,1
"OGLE-TR-113 b","OGLE-TR-113",2004,"Transit","OGLE",1.43247520000,0.0228900000,12.25100000,400.44900000,1342.00,4790.00,566.45900000,1,1
"OGLE-TR-132 b","OGLE-TR-132",2004,"Transit","OGLE",1.68986800000,0.0303500000,13.45000000,375.02000000,2013.00,6210.00,2012.62000000,1,1
"TrES-1 b","TrES-1",2004,"Transit","TrES",3.03007000000,0.0392500000,12.66617000,266.97720000,1140.00,5230.00,159.65800000,2,1
"AB Pic b","AB Pic",2005,"Imaging","Paranal Observatory",,260.0000000000,12.30000000,4290.50000000,15.80,5285.00,50.04750000,1,1
"GJ 581 b","GJ 581",2005,"Radial Velocity","La Silla Observatory",5.36860000000,0.0399000000,4.79000000,20.50000000,464.32,3500.00,6.29810000,1,3
"GJ 876 d","GJ 876",2005,"Radial Velocity","W. M. Keck Observatory",1.93778000000,0.0208066500,2.51000000,6.83000000,603.09,3293.74,4.67517000,1,4
"HD 101930 b","HD 101930",2005,"Radial Velocity","La Silla Observatory",70.46000000000,0.3000000000,10.60000000,79.45750000,417.04,5108.00,30.02740000,2,1
"HD 102117 b","HD 102117",2005,"Radial Velocity","La Silla Observatory",20.81330000000,0.1500000000,8.47000000,54.03110000,780.86,5655.00,39.57920000,1,1
"HD 107148 b","HD 107148",2005,"Radial Velocity","W. M. Keck Observatory",48.05600000000,0.2690000000,9.60000000,66.74100000,582.78,5797.00,49.41560000,2,2
"HD 108874 c","HD 108874",2005,"Radial Velocity","W. M. Keck Observatory",1624.00000000000,2.6590000000,13.80000000,314.64000000,168.21,5551.00,59.51750000,1,2
"HD 109749 b","HD 109749",2005,"Radial Velocity","W. M. Keck Observatory",5.23989100000,0.0615000000,11.10000000,85.81410000,1250.83,5824.00,63.08210000,2,1
"HD 118203 b","HD 118203",2005,"Radial Velocity","Haute-Provence Observatory",6.13497790000,0.0713000000,12.77823800,680.15279098,1361.00,5742.00,92.25890000,1,2
"HD 11964 b","HD 11964",2005,"Radial Velocity","W. M. Keck Observatory",1945.00000000000,3.1600000000,14.10000000,198.00000000,203.93,5303.00,33.53690000,2,2
"HD 11977 b","HD 11977",2005,"Radial Velocity","La Silla Observatory",711.00000000000,1.9300000000,12.70000000,2080.00000000,547.97,4970.00,67.93310000,1,1
"HD 128311 c","HD 128311",2005,"Radial Velocity","W. M. Keck Observatory",921.53800000000,1.7400000000,13.00000000,1204.25787000,158.23,4965.00,16.32920000,1,2
"HD 13189 b","HD 13189",2005,"Radial Velocity","Thueringer Landessternwarte Tautenburg",471.60001000000,1.2500000000,12.40000000,3480.23850000,1115.98,4175.00,497.82300000,1,1
"HD 142022 A b","HD 142022 A",2005,"Radial Velocity","La Silla Observatory",1928.00000000000,2.9300000000,12.90000000,1433.40611557,155.74,5421.00,34.28020000,2,1
"HD 149026 b","HD 149026",2005,"Radial Velocity","Subaru Telescope",2.87589000000,0.0436400000,8.29466000,120.77540000,1626.00,6179.00,75.86430000,1,1
"HD 149143 b","HD 149143",2005,"Radial Velocity","Haute-Provence Observatory",4.07182000000,0.0530000000,13.60000000,422.71390000,1471.90,5856.00,73.28010000,1,1
"HD 164922 b","HD 164922",2005,"Radial Velocity","W. M. Keck Observatory",1207.00000000000,2.1600000000,13.30000000,116.00000000,159.40,5390.00,22.00160000,1,4
"HD 189733 b","HD 189733",2005,"Radial Velocity","Haute-Provence Observatory",2.21857567000,0.0312600000,12.66617000,359.14790000,1209.00,5052.00,19.76380000,2,1
"HD 190360 c","HD 190360",2005,"Radial Velocity","W. M. Keck Observatory",17.11625000000,0.1298000000,5.53000000,26.20000000,794.55,5560.00,16.00690000,2,3
"HD 212301 b","HD 212301",2005,"Radial Velocity","La Silla Observatory",2.24571000000,0.0300000000,14.20000000,162.09330000,1870.75,6239.00,54.23040000,2,1
"HD 217107 c","HD 217107",2005,"Radial Velocity","Lick Observatory",5138.70000000000,5.9220000000,12.90000000,1388.91013859,123.27,5622.00,20.06190000,1,2
"HD 2638 b","HD 2638",2005,"Radial Velocity","La Silla Observatory",3.44420000000,0.0400000000,14.30000000,133.48860000,1212.27,5186.00,54.96210000,3,1
"HD 27894 b","HD 27894",2005,"Radial Velocity","La Silla Observatory",18.01939000000,0.1250000000,14.10000000,196.73578393,627.88,4875.00,43.82140000,1,3
"HD 33564 b","HD 33564",2005,"Radial Velocity","Haute-Provence Observatory",388.00000000000,1.1000000000,12.50000000,2892.10000000,344.43,6250.00,20.95310000,1,1
"HD 37124 d","HD 37124",2005,"Radial Velocity","W. M. Keck Observatory",1862.00000000000,2.8070000000,14.00000000,221.20968000,159.79,5698.64,31.66340000,1,3
"HD 4308 b","HD 4308",2005,"Radial Velocity","La Silla Observatory",15.56000000000,0.1200000000,4.12000000,15.89150000,799.37,5686.00,22.01580000,1,1
"HD 50499 b","HD 50499",2005,"Radial Velocity","W. M. Keck Observatory",2447.10000000000,3.8330000000,13.50000000,519.96988000,174.69,6102.00,46.28450000,1,2
"HD 63454 b","HD 63454",2005,"Radial Velocity","La Silla Observatory",2.81805000000,0.0400000000,12.31000000,79.45750000,1018.06,4812.00,37.68940000,1,1
"HD 66428 b","HD 66428",2005,"Radial Velocity","W. M. Keck Observatory",2269.81726000000,3.3950000000,12.40000000,3478.94974302,159.02,5716.00,53.28170000,1,2
"HD 73526 c","HD 73526",2005,"Radial Velocity","Anglo-Australian Telescope",379.10000000000,1.0300000000,13.30000000,715.09000000,329.17,5601.00,97.23960000,1,2
